PLR LLR
0 0.013044
0 0.012530
0 0.012289
0 0.011368
0 0.012419
0.5 0.012441
0.5 0.012770
0.5 0.011415
0.5 0.012051
0.5 0.012626
3 0.011563
3 0.012364
3 0.011152
3 0.012607
3 0.013025
5 0.013090
5 0.011515
5 0.011398
5 0.012039
5 0.011861
10 0.012137
10 0.012304
10 0.011157
10 0.012782
10 0.013421
0 0.012473
0 0.011297
0 0.012484
0 0.011906
0 0.012204
0.5 0.011927
0.5 0.012386
0.5 0.011573
0.5 0.012554
0.5 0.012681
3 0.013040
3 0.012437
3 0.011739
3 0.011604
3 0.011612
5 0.011697
5 0.013374
5 0.012084
0 0.011834
0 0.011299
0 0.013169
0 0.012538
0 0.012828
0.5 0.011033
0.5 0.011935
0.5 0.013222
0.5 0.012360
0.5 0.013240
3 0.012128
3 0.012132
3 0.013167
3 0.011733
3 0.013571
5 0.011902
5 0.012438
5 0.012441
5 0.011714
5 0.012318
10 0.013249
10 0.012683
10 0.011954
10 0.013021
10 0.012616
0 0.012376
0 0.012239
0 0.012442
0 0.011124
0 0.013023
0.5 0.012609
0.5 0.013311
0.5 0.012936
0.5 0.012491
0.5 0.012517
3 0.012447
3 0.012481
3 0.011594
3 0.011364
3 0.012747
5 0.014247
5 0.012433
5 0.012022
5 0.011880
5 0.011440
10 0.012667
10 0.012717
10 0.012684
10 0.012002
10 0.012772
0 0.013346
0 0.010982
0 0.012787
0 0.014030
0 0.014256
0.5 0.012586
0.5 0.013265
0.5 0.012957
0.5 0.013163
0.5 0.012556
3 0.011613
3 0.012301
3 0.012805
3 0.013154
3 0.012462
5 0.012519
5 0.012819
5 0.012293
5 0.013071
5 0.012138
10 0.013435
10 0.012229
10 0.014231
10 0.012475
10 0.014712
0 0.011664
0 0.012802
0 0.012587
0 0.011810
0 0.012330
0.5 0.012251
0.5 0.013102
0.5 0.011205
0.5 0.012353
0.5 0.011767
3 0.012892
3 0.012530
3 0.011484
3 0.013355
3 0.013725
5 0.012787
5 0.012796
5 0.012612
5 0.012136
5 0.012280
10 0.012941
10 0.011910
10 0.012853
10 0.015173
10 0.013973
0 0.011902
0 0.013611
0 0.011979
0 0.012118
0 0.012774
0.5 0.011671
0.5 0.012443
0.5 0.011969
0.5 0.012657
0.5 0.011853
3 0.011622
3 0.011943
3 0.012608
3 0.011328
3 0.013256
5 0.011743
5 0.013805
5 0.013493
5 0.012548
5 0.013032
10 0.012262
10 0.013337
10 0.014513
10 0.014114
10 0.013416
0 0.012490
0 0.012344
0 0.012107
0 0.012593
0 0.012415
0.5 0.011849
0.5 0.012350
0.5 0.010628
0.5 0.011906
0.5 0.012422
3 0.011762
3 0.013114
3 0.012707
3 0.013131
3 0.012400
5 0.012832
5 0.013263
5 0.012369
5 0.012258
5 0.011524
10 0.011821
10 0.015516
10 0.014058
10 0.014858
10 0.013286

0 0.012215
0 0.011351
0 0.011927
0 0.009956
0 0.012739
0.5 0.011877
0.5 0.011754
0.5 0.012312
0.5 0.010674
0.5 0.010364
3 0.011745
3 0.011793
3 0.011246
3 0.011618
3 0.012414
5 0.011332
5 0.012478
5 0.012343
5 0.012045
5 0.010303
10 0.012042
10 0.012594
10 0.011762
10 0.011046
10 0.012313
0 0.011436
0 0.011065
0 0.011594
0 0.012731
0 0.011272
0.5 0.011749
0.5 0.010259
0.5 0.011981
0.5 0.012209
0.5 0.011085
3 0.011004
3 0.011380
3 0.012745
3 0.011269
3 0.013038
5 0.012591
5 0.012149
5 0.012269
5 0.013159
5 0.013159
10 0.012562
