PLR ViSQL
0 1.000000
0 1.000000
0 3.396589
0 3.364474
0 3.390563
0.5 3.207383
0.5 3.221179
0.5 1.000000
0.5 3.293582
0.5 3.165056
3 3.242248
3 3.103886
3 3.188971
3 3.256662
3 3.306590
5 1.000000
5 3.119870
5 1.000000
5 1.000000
5 3.116131
10 2.921090
10 3.127583
10 3.176235
10 1.000000
10 1.000000
0 1.000000
0 3.219427
0 3.175418
0 3.311162
0 3.389850
0.5 3.193475
0.5 3.179458
0.5 1.000000
0.5 1.000000
0.5 3.203375
3 3.175820
3 1.000000
3 3.259676
3 3.173255
3 3.159975
5 3.261754
5 1.000000
5 3.255182
0 3.247018
0 3.356482
0 3.315031
0 3.349222
0 3.185289
0.5 3.302757
0.5 3.162299
0.5 3.214606
0.5 3.378855
0.5 3.227248
3 3.204247
3 3.196335
3 3.079938
3 3.166444
3 3.150082
5 3.262722
5 2.981418
5 3.092536
5 2.996506
5 3.111100
10 2.936276
10 3.033936
10 3.022913
10 3.092324
10 3.007944
0 3.392033
0 3.219016
0 3.358694
0 3.203629
0 3.367175
0.5 3.390566
0.5 3.284946
0.5 3.184969
0.5 3.219898
0.5 3.240187
3 3.155975
3 3.157246
3 3.186540
3 3.129240
3 3.240983
5 3.206230
5 3.094994
5 3.039377
5 3.209751
5 3.260806
10 2.898813
10 3.085254
10 2.892598
10 2.935369
10 3.208383
0 3.275621
0 3.181482
0 3.316522
0 3.245279
0 3.324621
0.5 3.193143
0.5 3.300185
0.5 3.340699
0.5 3.325526
0.5 3.274384
3 3.146878
3 3.127704
3 3.132797
3 3.316217
3 3.117146
5 3.249904
5 3.115264
5 3.213430
5 3.145024
5 3.035642
10 3.191103
10 2.928672
10 3.032388
10 3.223311
10 1.000000
0 3.348927
0 3.234623
0 3.352092
0 3.198058
0 3.402699
0.5 3.218744
0.5 3.255145
0.5 3.289460
0.5 3.123446
0.5 3.217332
3 3.313187
3 3.100785
3 3.125042
3 3.075040
3 3.133629
5 3.050184
5 3.118545
5 3.161316
5 3.144797
5 2.951900
10 3.093388
10 3.136036
10 1.000000
10 1.000000
10 1.000000
0 3.196734
0 3.349641
0 3.297756
0 3.270180
0 1.000000
0.5 3.277248
0.5 3.211240
0.5 3.175097
0.5 3.303061
0.5 3.368738
3 3.295915
3 3.243962
3 3.195342
3 3.286837
3 3.218243
5 3.284625
5 3.200754
5 3.171458
5 3.082121
5 3.095232
10 3.078007
