PLR,pesq
0,3.356
0,3.332
0,3.281
0,3.313
0,3.272
0.5,3.039
0.5,3.410
0.5,3.273
0.5,3.361
0.5,2.954
3,2.411
3,2.715
3,2.321
3,2.581
3,3.199
5,2.730
5,2.298
5,2.162
5,2.578
5,2.378
10,2.313
10,1.969
10,2.379
10,1.891
0,3.330
0,3.390
0,3.325
0,3.342
0,3.399
0.5,3.391
0.5,3.007
0.5,3.348
0.5,3.317
0.5,2.803
3,2.899
3,2.602
3,2.996
3,2.861
3,2.782
5,1.841
5,2.675
5,2.412
5,2.212
5,1.968
10,2.324
10,2.284
10,2.005
10,2.041
10,1.970
0,3.386
0,3.307
0,3.329
0,3.312
0,3.533
0.5,3.523
0.5,3.468
0.5,3.126
0.5,3.426
0.5,3.355
3,2.432
3,2.765
3,2.953
3,2.887
3,2.465
5,2.516
5,2.264
5,2.311
5,2.063
5,2.180
10,1.988
10,2.108
10,2.130
10,1.853
10,1.903
0,3.712
0,3.690
0,3.687
0,3.797
0,3.672
0.5,3.443
0.5,3.663
0.5,2.730
0.5,3.682
0.5,2.914
3,2.546
3,2.668
3,2.621
3,2.773
3,2.696
5,2.335
5,2.197
5,2.156
5,2.911
5,2.530
10,2.163
10,2.279
10,1.919
10,2.226
10,2.164
0,3.688
0,3.773
0,3.823
0,3.714
0,3.809
0.5,3.700
0.5,3.801
0.5,3.408
0.5,3.011
0.5,3.815
3,2.911
3,3.148
3,2.470
3,2.680
3,3.262
5,2.135
5,2.556
5,2.656
5,2.203
5,2.537
10,2.025
10,2.118
10,2.189
10,2.080
10,2.179
0,3.699
0,3.691
0,3.711
0,3.840
0,3.689
0.5,3.707
0.5,2.786
0.5,3.434
0.5,3.582
0.5,3.399
3,2.960
3,2.706
3,2.545
3,3.215
3,2.624
5,2.106
5,2.564
5,2.713
5,2.731
5,2.639
10,2.292
10,2.428
10,1.965
10,2.180
10,2.077
0,3.705
0,3.722
0,3.720
0,3.680
0,3.900
0.5,3.697
0.5,3.845
0.5,3.698
0.5,3.711
0.5,3.671
3,3.694
3,3.759
3,3.750
3,3.738
3,3.731
5,3.763
5,3.746
5,3.766
5,3.758
5,3.740
10,3.708
10,3.874
10,3.599
10,3.758
10,3.743
0,3.743
0,3.717
0,3.754
0,3.742
0,3.761
0.5,3.395
0.5,3.645
0.5,3.560
0.5,3.249
0.5,3.750
3,2.882
3,2.717
3,2.957
3,2.846
3,3.207
5,2.723
5,2.441
5,2.047
5,2.691
5,2.090
10,2.033
10,2.377
10,2.253
10,2.181
10,2.076
0,3.786
0,3.905
0,3.782
0,3.777
0,3.757
0.5,3.766
0.5,3.883
0.5,3.054
0.5,3.586
0.5,3.034
3,2.968
3,2.653
3,2.823
3,2.835
3,2.946
5,2.644
5,2.848
5,2.935
5,2.404
5,2.973
10,2.025
10,1.975
10,2.479
10,1.962
10,2.070
0,3.855
0,3.912
0,3.893
0,3.776
0,3.759
0.5,3.477
0.5,3.542
0.5,3.573
0.5,3.578
0.5,3.793
3,2.962
3,3.029
3,2.594
3,2.736
3,2.796
5,2.247
5,2.610
5,2.202
5,2.395
5,2.300
10,1.979
10,1.398
10,1.993
10,2.016
10,1.881
0,3.768
0,3.784
0,3.770
0,3.778
0,3.771
0.5,3.772
0.5,3.528
0.5,3.773
0.5,3.781
0.5,3.766
3,2.470
3,3.067
3,2.195
3,3.159
3,2.998
5,2.835
5,2.864
5,2.541
5,2.739
5,2.264
10,2.137
10,2.297
10,2.026
10,1.998
10,2.021
0,3.790
0,3.902
0,3.788
0,3.912
0,3.785
0.5,3.533
0.5,3.602
0.5,3.705
0.5,3.927
0.5,3.312
3,3.097
3,2.840
3,2.939
3,3.352
3,2.782
5,2.361
5,2.043
5,2.449
5,2.344
5,3.112
10,2.136
10,2.203
10,2.273
10,2.194
10,2.004
0,3.768
0,3.747
0,3.937
0,3.916
0,3.778
0.5,3.937
0.5,3.269
0.5,3.304
0.5,2.641
0.5,3.383
3,2.878
3,2.926
3,2.922
3,3.065
3,2.388
5,2.290
5,2.369
5,2.181
5,2.931
5,2.846
10,2.042
10,1.816
10,2.080
10,1.948
10,2.000
0,3.767
0,3.771
0,3.781
0,3.784
0,3.775
0.5,3.729
0.5,3.739
0.5,3.485
0.5,3.274
0.5,3.088
3,2.419
3,3.032
3,2.975
3,2.900
3,2.554
5,2.096
5,2.537
5,2.699
5,2.343
5,2.542
10,2.123
10,2.193
10,2.002
10,1.888
10,1.963
0,3.775
0,3.775
0,3.929
0,3.788
0,3.793
0.5,2.938
0.5,3.433
0.5,3.239
0.5,3.503
0.5,3.481
3,2.686
3,2.392
3,2.734
3,2.720
3,2.684
5,2.298
5,2.132
5,2.580
5,2.530
5,2.646
10,2.161
10,2.272
10,1.935
10,1.878
10,2.005
