REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.217	 3.145	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 3.189	 3.104	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 3.378	 3.382	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 2.329	 1.939	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.671	 3.781	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 3.895	 4.045	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 3.020	 2.853	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 3.869	 4.016	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.944	 4.097	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 3.196	 3.114	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 3.938	 4.090	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 2.595	 2.255	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.937	 4.090	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 3.986	 4.140	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 3.168	 3.072	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 3.973	 4.127	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.966	 4.120	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 3.274	 3.230	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 3.954	 4.107	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 2.790	 2.518	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 4.009	 4.163	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.970	 4.123	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.694	 3.810	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.599	 3.688	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.751	 3.879	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 4.014	 4.168	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.466	 3.507	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.997	 4.151	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.833	 3.976	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 4.024	 4.177	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 3.368	 3.368	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 4.024	 4.177	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 3.221	 3.151	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 3.992	 4.146	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 3.425	 3.449	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 4.033	 4.186	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 3.301	 3.270	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 4.009	 4.163	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 3.598	 3.687	 16000	nb
