REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 3.127	 3.011	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 3.204	 3.127	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 2.927	 2.715	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 3.133	 3.020	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 2.554	 2.202	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 2.709	 2.406	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 2.998	 2.819	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.080	 2.941	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.074	 2.933	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 2.601	 2.261	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 2.469	 2.098	 16000	nb
C:\Users\fha6np\Desktop\loss-u_af1s02-model1-16k-ref.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 2.624	 2.291	 16000	nb
