REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 2.122	 1.735	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 2.168	 1.777	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 1.643	 1.396	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 2.149	 1.760	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 1.292	 1.244	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 3.559	 3.635	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 2.503	 2.138	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 2.037	 1.662	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 1.962	 1.602	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 1.948	 1.592	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 1.971	 1.609	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 1.938	 1.584	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 1.933	 1.581	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 1.956	 1.598	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-0.wav	 1.935	 1.582	 16000	nb
C:\Users\fha6np\Desktop\loss-model1-16-ref.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 1.709	 1.433	 16000	nb
